Id,Prediction
0,2
1,2
2,5
3,2
4,0
5,2
6,3
7,5
8,2
9,5
10,5
11,0
12,9
13,5
14,3
15,7
16,2
17,5
18,5
19,9
20,3
21,5
22,0
23,5
24,3
25,5
26,5
27,3
28,0
29,5
30,2
31,2
32,7
33,9
34,2
35,5
36,2
37,5
38,2
39,2
40,1
41,0
42,7
43,3
44,3
45,5
46,2
47,2
48,0
49,5
50,9
51,5
52,5
53,3
54,0
55,5
56,5
57,0
58,5
59,3
60,5
61,5
62,2
63,7
64,0
65,3
66,1
67,2
68,5
69,5
70,7
71,5
72,7
73,9
74,3
75,2
76,7
77,5
78,0
79,3
80,9
81,0
82,2
83,5
84,5
85,5
86,7
87,0
88,2
89,5
90,0
91,0
92,5
93,2
94,0
95,7
96,5
97,5
98,9
99,5
100,0
101,9
102,9
103,5
104,0
105,2
106,3
107,5
108,5
109,0
110,5
111,2
112,2
113,5
114,9
115,0
116,7
117,9
118,2
119,0
120,5
121,0
122,0
123,9
124,5
125,5
126,2
127,3
128,5
129,2
130,5
131,0
132,2
133,9
134,0
135,5
136,0
137,0
138,5
139,5
140,0
141,0
142,9
143,5
144,2
145,5
146,5
147,5
148,9
149,3
150,3
151,0
152,0
153,5
154,9
155,0
156,9
157,9
158,7
159,2
160,3
161,0
162,5
163,0
164,7
165,1
166,0
167,0
168,9
169,0
170,0
171,0
172,0
173,0
174,0
175,9
176,2
177,3
178,9
179,2
180,4
181,5
182,9
183,9
184,9
185,0
186,9
187,0
188,0
189,1
190,2
191,9
192,0
193,2
194,2
195,5
196,1
197,3
198,5
199,9
200,3
201,0
202,5
203,0
204,2
205,0
206,3
207,9
208,0
209,0
210,3
211,5
212,5
213,7
214,9
215,9
216,0
217,2
218,3
219,9
220,5
221,5
222,7
223,5
224,3
225,5
226,5
227,9
228,2
229,5
230,3
231,8
232,2
233,3
234,5
235,2
236,0
237,0
238,9
239,5
240,0
241,7
242,9
243,0
244,3
245,0
246,5
247,0
248,0
249,9
250,0
251,2
252,5
253,7
254,3
255,3
256,9
257,5
258,2
259,0
260,2
261,0
262,3
263,9
264,2
265,2
266,9
267,0
268,5
269,0
270,7
271,3
272,9
273,5
274,7
275,2
276,1
277,0
278,7
279,5
280,3
281,2
282,5
283,9
284,2
285,0
286,9
287,9
288,3
289,9
290,0
291,5
292,5
293,5
294,9
295,0
296,5
297,5
298,5
299,0
300,4
301,2
302,9
303,2
304,5
305,9
306,3
307,9
308,2
309,5
310,9
311,2
312,3
313,2
314,9
315,3
316,2
317,1
318,5
319,7
320,5
321,9
322,1
323,7
324,3
325,0
326,5
327,5
328,0
329,2
330,2
331,0
332,5
333,7
334,0
335,5
336,0
337,2
338,5
339,2
340,5
341,5
342,7
343,9
344,5
345,5
346,5
347,0
348,5
349,3
350,9
351,3
352,7
353,5
354,9
355,0
356,0
357,0
358,4
359,7
360,0
361,9
362,9
363,8
364,9
365,0
366,5
367,5
368,3
369,5
370,5
371,2
372,0
373,5
374,9
375,9
376,2
377,9
378,0
379,2
380,3
381,2
382,5
383,0
384,2
385,2
386,5
387,0
388,5
389,5
390,0
391,0
392,0
393,9
394,0
395,9
396,3
397,9
398,1
399,0
400,5
401,9
402,9
403,1
404,5
405,5
406,3
407,0
408,7
409,0
410,9
411,0
412,3
413,3
414,0
415,7
416,2
417,3
418,0
419,5
420,7
421,5
422,5
423,9
424,3
425,5
426,0
427,9
428,0
429,0
430,0
431,5
432,7
433,2
434,0
435,7
436,2
437,5
438,0
439,0
440,7
441,1
442,5
443,3
444,2
445,0
446,7
447,5
448,3
449,2
450,3
451,1
452,2
453,5
454,0
455,5
456,0
457,5
458,5
459,5
460,5
461,0
462,5
463,9
464,5
465,3
466,0
467,5
468,5
469,5
470,3
471,0
472,2
473,9
474,5
475,2
476,5
477,5
478,5
479,2
480,5
481,3
482,9
483,0
484,5
485,3
486,9
487,4
488,0
489,9
490,9
491,2
492,0
493,9
494,2
495,9
496,2
497,0
498,0
499,0
500,4
501,5
502,0
503,5
504,1
505,5
506,5
507,8
508,7
509,1
510,0
511,2
512,7
513,7
514,9
515,5
516,5
517,5
518,2
519,2
520,7
521,0
522,9
523,2
524,0
525,9
526,0
527,5
528,0
529,2
530,3
531,9
532,2
533,0
534,5
535,3
536,9
537,2
538,0
539,5
540,1
541,1
542,5
543,5
544,2
545,2
