Id,Prediction
0,2
1,1
2,9
3,1
4,9
5,3
6,2
7,1
8,9
9,9
10,2
11,2
12,2
13,5
14,3
15,2
16,9
17,9
18,5
19,9
20,1
21,0
22,2
23,5
24,0
25,2
26,5
27,3
28,2
29,9
30,2
31,3
32,0
33,2
34,0
35,2
36,9
37,5
38,3
39,2
40,1
41,0
42,0
43,0
44,0
45,5
46,2
47,2
48,2
49,0
50,9
51,0
52,0
53,3
54,0
55,1
56,0
57,9
58,0
59,2
60,5
61,9
62,9
63,5
64,0
65,0
66,9
67,9
68,5
69,5
70,0
71,5
72,0
73,9
74,5
75,9
76,5
77,5
78,2
79,9
80,3
81,0
82,0
83,0
84,5
85,0
86,0
87,9
88,0
89,2
90,0
91,0
92,9
93,2
94,2
95,2
96,0
97,5
98,5
99,1
100,2
101,0
102,3
103,5
104,9
105,3
106,3
107,2
108,0
109,9
110,5
111,9
112,9
113,5
114,3
115,2
116,0
117,3
118,2
119,2
120,5
121,0
122,9
123,2
124,5
125,2
126,2
127,0
128,2
129,9
130,5
131,2
132,0
133,2
134,9
135,5
136,2
137,0
138,2
139,0
140,0
141,5
142,9
143,2
144,9
145,0
146,2
147,0
148,2
149,3
150,9
151,2
152,0
153,9
154,2
155,0
156,9
157,2
158,0
159,9
160,3
161,2
162,5
163,2
164,0
165,2
166,0
167,9
168,9
169,3
170,2
171,2
172,3
173,9
174,2
175,1
176,3
177,0
178,9
179,2
180,2
181,0
182,9
183,5
184,3
185,0
186,2
187,2
188,5
189,9
190,2
191,2
192,0
193,2
194,2
195,2
196,3
197,3
198,5
199,0
200,5
201,2
202,0
203,0
204,9
205,0
206,3
207,2
208,5
209,0
210,9
211,9
212,5
213,5
214,9
215,2
216,9
217,2
218,9
219,3
220,9
221,5
222,0
223,5
224,5
225,9
226,5
227,5
228,2
229,0
230,5
231,9
232,0
233,3
234,5
235,2
236,9
237,2
238,2
239,2
240,2
241,0
242,5
243,5
244,3
245,2
246,2
247,2
248,2
249,2
250,0
251,9
252,2
253,5
254,5
255,0
256,3
257,9
258,2
259,9
260,0
261,9
262,3
263,5
264,9
265,3
266,9
267,2
268,2
269,9
270,0
271,3
272,2
273,5
274,5
275,2
276,2
277,0
278,0
279,2
280,3
281,5
282,2
283,0
284,0
285,0
286,2
287,9
288,5
289,9
290,0
291,0
292,5
293,9
294,9
295,2
296,5
297,2
298,2
299,0
300,2
301,1
302,2
303,9
304,9
305,9
306,2
307,3
308,0
309,0
310,3
311,2
312,2
313,3
314,0
315,0
316,3
317,9
318,2
319,2
320,5
321,2
322,5
323,5
324,3
325,2
326,5
327,5
328,2
329,9
330,9
331,2
332,2
333,2
334,2
335,5
336,0
337,2
338,5
339,2
340,0
341,5
342,5
343,2
344,5
345,2
346,5
347,0
348,2
349,0
350,9
351,3
352,1
353,2
354,9
355,2
356,0
357,2
358,2
359,9
360,5
361,3
362,9
363,2
364,9
365,9
366,2
367,2
368,3
369,5
370,2
371,2
372,1
373,2
374,3
375,1
376,3
377,2
378,0
379,9
380,3
381,3
382,5
383,2
384,2
385,2
386,2
387,0
388,9
389,2
390,5
391,2
392,0
393,2
394,5
395,3
396,3
397,2
398,3
399,2
400,2
401,2
402,9
403,5
404,1
405,5
406,3
407,9
408,5
409,2
410,9
411,2
412,3
413,3
414,0
415,0
416,2
417,3
418,2
419,5
420,0
421,5
422,9
423,2
424,3
425,5
426,2
427,9
428,0
429,0
430,3
431,5
432,2
433,2
434,9
435,0
436,2
437,0
438,2
439,0
440,0
441,2
442,2
443,9
444,9
445,2
446,2
447,2
448,3
449,2
450,2
451,2
452,1
453,5
454,2
455,2
456,2
457,2
458,0
459,0
460,2
461,2
462,5
463,2
464,2
465,3
466,0
467,0
468,1
469,9
470,9
471,2
472,2
473,9
474,5
475,9
476,1
477,0
478,2
479,9
480,5
481,2
482,2
483,2
484,2
485,3
486,9
487,9
488,2
489,0
490,9
491,1
492,0
493,2
494,3
495,9
496,3
497,5
498,0
499,2
500,9
501,2
502,9
503,1
504,5
505,0
506,5
507,0
508,0
509,1
510,9
511,9
512,2
513,9
514,2
515,0
516,5
517,0
518,9
519,9
520,5
521,0
522,0
523,2
524,2
525,2
526,9
527,2
528,0
529,9
530,3
531,2
532,9
533,9
534,5
535,3
536,5
537,2
538,0
539,0
540,9
541,2
542,5
543,5
544,2
545,9
546,5
547,2
548,9
549,5
550,5
551,9
552,0
553,3
554,9
555,5
556,5
557,2
558,5
559,2
560,3
561,3
562,0
563,9
564,3
565,9
566,1
567,2
568,0
569,0
570,5
571,2
572,5
573,3
574,3
575,5
576,9
577,9
578,9
579,2
580,5
581,0
582,5
583,0
584,0
585,3
586,9
587,9
588,3
589,9
590,2
591,9
592,0
593,2
594,2
595,2
596,1
597,0
598,0
599,5
600,2
601,0
602,0
603,9
604,3
605,5
606,0
607,9
608,3
609,2
610,3
611,0
612,2
613,0
614,9
615,0
616,9
617,2
618,1
619,9
620,1
621,9
622,3
623,2
624,9
625,9
626,5
627,5
628,5
629,0
630,5
631,0
632,3
633,9
634,3
635,3
636,2
637,2
638,5
639,9
640,9
641,9
642,1
643,2
644,0
645,3
646,3
647,9
648,3
649,0
650,9
651,5
652,9
653,0
654,9
655,9
656,5
657,0
658,9
659,9
660,3
661,2
662,9
663,5
664,1
665,2
666,2
667,0
668,0
669,2
670,2
671,9
672,9
673,3
674,9
675,9
676,0
677,0
678,9
679,3
680,2
681,9
682,2
683,2
684,0
685,5
686,2
687,3
688,5
689,0
690,2
691,5
692,3
693,2
694,1
695,2
696,0
697,2
698,3
699,2
700,5
701,3
702,0
703,5
704,0
705,5
706,0
707,2
708,3
709,9
710,9
711,2
712,9
713,2
714,0
715,2
716,9
717,2
718,2
719,2
720,0
721,9
722,2
723,9
724,2
725,2
726,5
727,9
728,0
729,2
