Id,Prediction
0,2
1,2
2,5
3,2
4,5
5,2
6,2
7,3
8,2
9,5
10,2
11,5
12,2
13,5
14,2
15,5
16,5
17,5
18,5
19,9
20,2
21,5
22,5
23,5
24,5
25,0
26,5
27,2
28,3
29,3
30,5
31,5
32,5
33,2
34,5
35,0
36,2
37,3
38,2
39,5
40,5
41,5
42,5
43,5
44,9
45,5
46,3
47,2
48,5
49,5
50,2
51,5
52,5
53,3
54,5
55,3
56,2
57,5
58,5
59,2
60,5
61,5
62,5
63,5
64,5
65,5
66,3
67,2
68,0
69,5
70,2
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,2
79,5
80,5
81,2
82,5
83,5
84,3
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,0
94,5
95,2
96,5
97,5
98,5
99,3
100,5
101,3
102,2
103,5
104,2
105,2
106,0
107,2
108,5
109,2
110,5
111,2
112,2
113,0
114,3
115,5
116,5
117,2
118,5
119,0
120,5
121,5
122,5
123,5
124,3
125,5
126,0
127,5
128,2
129,2
130,0
131,5
132,5
133,2
134,5
135,5
136,2
137,5
138,9
139,5
140,5
141,5
142,5
143,3
144,2
145,5
146,0
147,5
148,2
149,2
150,5
151,5
152,5
153,2
154,2
155,5
156,3
157,5
158,5
159,2
160,2
161,5
162,5
163,5
164,5
165,2
166,5
167,3
168,5
169,3
170,3
171,2
172,5
173,5
174,2
175,5
176,3
177,5
178,5
179,2
180,5
181,5
182,2
183,5
184,2
185,2
186,2
187,5
188,5
189,2
190,3
191,5
192,5
193,2
194,2
195,5
196,2
197,2
198,5
199,5
200,5
201,3
202,5
203,5
204,5
205,5
206,2
207,2
208,5
209,5
210,5
211,2
212,5
213,5
214,3
215,2
216,5
217,2
218,5
219,2
220,5
221,5
222,5
223,5
224,5
225,3
226,5
227,5
228,2
229,5
230,5
231,2
232,5
233,2
234,5
235,2
236,2
237,2
238,2
239,2
240,2
241,5
242,5
243,2
244,5
245,5
246,2
247,5
248,5
249,2
250,5
251,2
252,5
253,5
254,5
255,5
256,2
257,5
258,2
259,5
260,5
261,5
262,2
263,2
264,5
265,2
266,5
267,5
268,2
269,2
270,5
271,2
272,2
273,2
274,5
275,0
276,3
277,5
278,5
279,5
280,2
281,2
282,0
283,0
284,5
285,5
286,2
287,5
288,3
289,2
290,5
291,5
292,5
293,2
294,2
295,5
296,5
297,2
298,5
299,5
300,2
301,2
302,2
303,5
304,5
305,2
306,5
307,2
308,5
309,5
310,5
311,2
312,2
313,2
314,5
315,5
316,5
317,5
318,2
319,5
320,5
321,2
322,3
323,2
324,2
325,5
326,9
327,9
328,5
329,3
330,5
331,5
332,5
333,2
334,5
335,5
336,5
337,5
338,5
339,5
340,5
341,5
342,5
343,5
344,3
345,5
346,5
347,5
348,2
349,3
350,2
351,3
352,9
353,2
354,3
355,2
356,5
357,3
358,0
359,5
360,2
361,5
362,5
363,2
364,2
365,5
366,2
367,2
368,9
369,3
370,2
371,5
372,2
373,0
374,2
375,0
376,2
377,2
378,3
379,3
380,2
381,3
382,5
383,5
384,2
385,2
386,2
387,5
388,5
389,2
390,5
391,5
392,5
393,2
394,5
395,5
396,2
397,5
398,5
399,5
400,5
401,2
402,2
403,5
404,3
405,2
406,5
407,5
408,5
409,3
410,3
411,5
412,2
413,2
414,5
415,5
416,5
417,2
418,5
419,5
420,5
421,0
422,5
423,2
424,3
425,5
426,5
427,2
428,5
429,5
430,3
431,5
432,5
433,5
434,5
435,5
436,2
437,5
438,2
439,5
440,5
441,2
442,2
443,5
444,3
445,0
446,5
447,2
448,2
449,5
450,5
451,2
452,2
453,5
454,5
455,3
456,5
457,3
458,5
459,5
460,2
461,5
462,5
463,2
464,9
465,2
466,5
467,5
468,3
469,5
470,5
471,5
472,2
473,5
474,5
475,3
476,2
477,5
478,5
479,5
480,0
481,2
482,5
483,5
484,2
485,2
486,2
487,2
488,2
489,5
490,3
491,2
492,5
493,2
494,2
495,3
496,3
497,5
498,5
499,5
500,2
501,5
502,5
503,5
504,5
505,5
506,0
507,5
508,5
509,3
510,3
511,2
512,5
513,5
514,5
515,5
516,5
517,5
518,2
519,2
520,5
521,2
522,5
523,5
524,0
525,5
526,5
527,9
528,5
529,2
530,3
531,2
532,3
533,5
534,5
535,2
536,5
537,2
538,5
539,5
540,5
541,5
542,2
543,5
544,2
545,2
